,AAPL,AMZN,CAT,CVX,GS,HD,JNJ,JPM,KO,LIN,MSFT,NEE,NVDA,PG,UNH,XOM
2012-01-31,0.20000000003633672,0.026205127394345645,0.1999999987840394,0.0,0.0,0.1999999998234183,0.0,0.0,0.16842193610457085,0.0,0.0,0.08754016627644144,0.0,0.0,0.11783277158084758,0.0
2012-02-29,0.20000000311122268,0.0,0.11868845739778594,0.0,0.0,0.14297460182103025,0.0,0.0,0.20000000239314888,0.0,0.0,0.1804298592544026,0.0,0.0,0.1579070760224097,0.0
2012-03-30,0.20000000054794695,0.002807016904979594,0.0,0.0,0.0,0.19999998742794348,0.0,0.0,0.20000000027570553,0.0,0.0,0.1971929947287448,0.0,0.0,0.2000000001146796,0.0
2012-04-30,0.20000000008844918,0.06751485599999606,0.0,0.0,0.0,0.13230603811061428,0.0,0.0,0.20000000007479107,0.0001791522639692118,0.0,0.1999999534226722,0.0,0.0,0.2000000000395081,0.0
2012-05-31,0.20000000133936607,0.06926311051680996,0.0,0.0,0.0,0.13073688418773555,0.0,0.0,0.20000000133311843,0.0,0.0,0.2000000013086801,0.0,0.0,0.20000000131428994,0.0
2012-06-29,0.20000000104605714,0.056481131850478296,0.0,0.0,0.0,0.19470495360385853,0.0,0.0,0.20000000078134889,0.0,0.0,0.17523322084521817,0.0,0.0,0.173580691873039,0.0
2012-07-31,0.2000000015996551,0.10528826869441182,0.0,0.0,0.0,0.20000000102793547,0.026394265692178776,0.0,0.20000000136824136,0.0,0.0,0.20000000117007644,0.0,0.0,0.06831746044750102,0.0
2012-08-31,0.20000000088093717,0.08080796923230091,0.0,0.0,0.0,0.20000000084261838,0.0,0.0,0.20000000082738914,0.0,0.0,0.15268091358549815,0.0,0.07934610053747276,0.08716501409378341,0.0
2012-09-28,0.20000000046662242,0.03650837142332829,0.0,0.0,0.0,0.20000000015225358,0.0,0.0,0.1747322677757343,0.0,0.0,0.1999999988012842,0.0,0.10309765494710599,0.04522976069447412,0.04043194573919714
2012-10-31,0.20000000086185976,0.01240677644979206,0.0,0.0,0.0,0.20000000085212705,0.0,0.0,0.162241902339956,0.0,0.0,0.20000000066830403,0.0,0.06038498618265989,0.13195551170678044,0.03301082093852072
2012-11-30,0.2000000000700632,0.028248213938244372,0.0,0.0,0.0,0.2000000002591888,0.02729032994138395,0.0,0.07767665248566993,0.0,0.0,0.2000000000057513,0.0,0.19999999128223045,0.06678481201746797,0.0
2012-12-31,0.19999999999621443,0.02733644304494214,0.0,0.0,0.0,0.2000000000051265,0.15315219832599505,0.0,0.0,0.0,0.0,0.20000000000319698,0.0,0.03923069335171937,0.18028066527280545,0.0
2013-01-31,0.07904820099614848,0.09077928456300217,0.0,0.0,0.0,0.20000000059616713,0.20000000052738684,0.0,0.0,0.0,0.0,0.2000000005892478,0.0,0.19029955345362295,0.039872959274424635,0.0
2013-02-28,0.023535913247978938,0.08719614660418086,0.0,0.0,0.0,0.20000000000197482,0.1999999999762034,0.0,0.0892679402085432,0.0,0.0,0.19999999998795645,0.0,0.19999999997316226,0.0,0.0
2013-03-28,0.015468836943122203,0.07992466138937845,0.0,0.0,0.0,0.20000000073464513,0.2000000005407896,0.0,0.10460649986955758,0.0,0.0,0.2000000004816693,0.0,0.20000000004083776,0.0,0.0
2013-04-30,0.03517213580192744,0.012921922757395465,0.0,0.0,0.0,0.2000000000016812,0.19999999999405957,0.0,0.1500000008417827,0.0,0.0019059414848762895,0.19999999999981832,0.0,0.1999999991184591,0.0,0.0
2013-05-31,0.06384177335278915,0.02485153802580378,0.0,0.0,0.0,0.2000000006737998,0.20000000065488227,0.0,0.0,0.0,0.15948466502927425,0.2000000006775436,0.0,0.1518220215859073,0.0,0.0
2013-06-28,0.010453260579278834,0.03519389118189765,0.0,0.0,0.0,0.20000000095127007,0.20000000006418248,0.0,0.033289817751944936,0.0,0.12106303085252705,0.20000000052027106,0.0,0.19999999809862792,0.0,0.0
2013-07-31,0.018018315173805557,0.04076950119398217,0.0,0.0,0.0,0.2000000000603801,0.2000000000512248,0.0,0.01591160373962058,0.0,0.0,0.20000000005427251,0.0,0.20000000003536508,0.12530057969134928,0.0
2013-08-30,0.039083840195070704,0.025883882941310124,0.0,0.0,0.0,0.20000000008059254,0.20000000008267985,0.0,0.0,0.0,0.023171830864047095,0.200000000053915,0.0,0.1644529133192107,0.147407532463174,0.0
2013-09-30,0.021887092002474587,0.04004310662304832,0.0,0.0,1.3640571568205312e-08,0.20000000247767272,0.20000000176782434,0.014895841421747706,0.0,0.0,0.04164997058483962,0.20000000221178252,0.0,0.14382571067293135,0.13769825859710727,0.0
2013-10-31,0.0481565136037087,0.07977473103502866,0.0,0.0,0.0,0.20000000109975108,0.2000000008095739,0.0,0.0,0.0,0.02540635487585737,0.20000000088674927,0.0,0.15026707951566215,0.09639531817366881,0.0
2013-11-29,0.04790431408788217,0.07905291194230973,0.0,0.0,0.0,0.2000000007260909,0.20000000072315036,0.04630981985506874,0.0,0.0,0.030801367737192716,0.2000000011709002,0.0,0.09420394089165222,0.10172764286575295,0.0
2013-12-31,0.04504634574853382,0.1289867289241655,0.0,0.0,0.05982607944887396,0.20000000000917578,0.1999999999422907,0.041320221286841576,0.0,0.0,0.012454055290653694,0.19999999998410786,0.0,0.021798468797183827,0.09056810056817334,0.0
2014-01-31,0.010118512230888069,0.10702152288093546,0.0,0.0,0.0,0.20000000000580057,0.19999999997918422,0.047411730544458845,0.0,0.0,0.014130321345468926,0.20000000001616403,0.0,0.10524725377472058,0.11607065922237926,0.0
2014-02-28,0.0,0.14571701661203165,0.0,0.0,0.0,0.20000000068648305,0.20000000063322074,0.04621117234609383,0.0,0.0,2.1965816797151138e-08,0.2000000006835737,1.4383045436633202e-08,0.09660461955425935,0.11146715313547538,0.0
2014-03-31,0.0,0.07805769707022543,0.0,0.0,0.0,0.19999999980554656,0.20000000013847088,2.9235166993499846e-08,0.0,0.0,0.027739387372276623,0.2000000002126367,0.017064058249810256,0.12713882819390213,0.14999999972196437,0.0
2014-04-30,0.0,0.046081621620294846,0.0,0.0,0.0,0.20000000063103265,0.20000000067842802,0.0,0.0,0.0,0.010975466030896547,0.20000000067852622,0.09129283814035144,0.17549727261284498,0.07615279960762517,0.0
2014-05-30,0.011225223382174344,0.0,0.0,0.0,0.010624617469258047,0.19999999853368605,0.20000000052691375,0.09307072184371357,0.0,0.0,0.022025423328879936,0.2000000003902482,0.07464894041286453,0.11367808639842776,0.07472698771383383,0.0
2014-06-30,0.009651337159925583,0.0,0.0,0.0,0.13571375793848678,0.18572385975192682,0.20000000118893585,0.014857782643933327,0.0,0.0,0.02034238123097729,0.20000000113658428,0.058261339647565275,0.11610689702595745,0.05934264227570731,0.0
2014-07-31,0.013685068504190509,0.0,0.0,0.0,0.10286817171481005,0.19999996431424721,0.20000000126452191,0.050594088688350046,0.0,0.0,0.0905855997986354,0.19540017229686882,0.008230455511712923,0.0,0.13863647790666317,0.0
