,CAGR,Volatility,Sharpe,Sortino,Max Drawdown,Calmar,Daily VaR 95%,Daily CVaR 95%,Skew,Cost Drag (CAGR),Annual Turnover,Avg Effective N,Avg Max Weight,Weight Instability
1/N Equal Weight,0.2057791997353171,0.16323634030002301,1.1244870425899522,1.6143354747135095,-0.33732558230481535,0.6100314074293072,0.01466907712241749,0.024053205680591522,-0.308710315551383,0.0007116351393796627,0.5906772551975855,16.0,0.0625,0.0
MVO Max-Sharpe (Sample),0.21231824908722308,0.1749131399582232,1.091520536866279,1.582655945290236,-0.3014400356848278,0.7043465497370546,0.016642407882405102,0.025319168883583668,-0.127816879935222,0.003760486218309822,3.0979046170723024,5.919612963105899,0.1999590978409293,0.2423792024003678
MVO Max-Sharpe (Ledoit-Wolf),0.21262694246654146,0.1753399906691436,1.0907455197400677,1.5811902070928652,-0.3015221411162975,0.7051785374014407,0.016747088380720813,0.0254134106529626,-0.1274685871000584,0.00374655887551012,3.0856896306808386,5.9636851987626285,0.1998645325175126,0.24221401174980847
MVO Max-Sharpe (LW + Shrunk Means),0.1938842595393937,0.16058240790417294,1.0784542742393346,1.5636803872836178,-0.30456918217185125,0.6365852846858148,0.014752247843100913,0.02294736653527458,-0.1484874972711281,0.0034854699103750164,2.9162804790759753,6.503668744472922,0.19951332596833785,0.23558780695042192
Michaud Resampled (Sample),0.20766864048801326,0.16588547166438913,1.1184399921506853,1.6208943333228552,-0.30278102593971745,0.6858707207411315,0.01544339793656017,0.024050028231885866,-0.13288890085556856,0.002169448342047575,1.7955711713527285,8.685874197987998,0.1820891275124945,0.15936627466412454
Black-Litterman (Momentum views),0.2015435039528688,0.17426749397603675,1.0437212081757272,1.5005055975353538,-0.285707828404984,0.7054182066974578,0.01650093700691683,0.025742055860251863,-0.17566075463606143,0.0031002352013247414,2.5810120269003693,9.198586161763325,0.18430389356325438,0.21020771756987322
Minimum Variance (Ledoit-Wolf),0.12739164520250812,0.14051375447542414,0.802979021512779,1.1399102753736483,-0.35289069361903436,0.36099462951560485,0.011999100816892955,0.02016939994351324,-0.3010419215414356,0.0012972389411955998,1.1489610191599433,7.138987560504991,0.19773091724162173,0.07656558118272909
Risk Parity (Ledoit-Wolf),0.18414779827485095,0.15206063068972556,1.0763322487129665,1.543077618766075,-0.33854687944912343,0.5439358902805204,0.013438508490495849,0.02222501194719704,-0.30160994571590694,0.0007051667307287346,0.595488596726024,14.628828150847514,0.10549741851298627,0.01551863682333418
