,AAPL,AMZN,CAT,CVX,GS,HD,JNJ,JPM,KO,LIN,MSFT,NEE,NVDA,PG,UNH,XOM
2012-01-31,0.20000000005113708,0.023684338036300646,0.1999999978141797,0.0,0.0,0.19999999975193514,0.0,0.0,0.17561928363390994,0.0,0.0,0.08466275408627374,0.0,0.0,0.11603362662626372,0.0
2012-02-29,0.2000000014751716,0.0,0.11444263499013885,0.0,0.0,0.14212124729434908,0.0,0.0,0.20000000058102205,0.0,0.0,0.1866830491536052,0.0,0.0,0.1567530665057132,0.0
2012-03-30,0.20000000057379208,3.9849752997216605e-06,0.0,0.0,0.0,0.19999997298735314,0.0,0.0,0.20000000001672727,0.0,0.0,0.19999604180140484,0.0,0.0,0.199999999645423,0.0
2012-04-30,0.20000000063453818,0.06619135091271482,0.0,0.0,0.0,0.13380812825918034,0.0,0.0,0.20000000053333036,5.255677104635743e-07,0.0,0.19999999372595034,0.0,0.0,0.20000000036657548,0.0
2012-05-31,0.2000000005479205,0.0678641153657195,0.0,0.0,0.0,0.1321358824928308,0.0,0.0,0.20000000054298045,0.0,0.0,0.20000000052353456,0.0,0.0,0.2000000005270142,0.0
2012-06-29,0.200000000973207,0.05406428420169984,0.0,0.0,0.0,0.19380740447187966,0.0,0.0,0.2000000001466558,0.0,0.0,0.1807796154473895,0.0,0.0,0.17134869475916825,0.0
2012-07-31,0.20000000071641832,0.10414569786418919,0.0,0.0,0.0,0.2000000005489753,0.02905496970885409,0.0,0.2000000006666255,0.0,0.0,0.2000000006127862,0.0,0.0,0.06679932988215137,0.0
2012-08-31,0.20000000099588036,0.07883030774065314,0.0,0.0,0.0,0.20000000085444472,0.0,0.0,0.20000000040236227,0.0,0.0,0.15919505864704617,0.0,0.07833655220544564,0.0836380791541677,0.0
2012-09-28,0.20000000013990335,0.03451454990319908,0.0,0.0,0.0,0.19999999994901166,0.0,0.0,0.18683942917596535,0.0,0.0,0.19999999940833169,0.0,0.10658056965356698,0.04214996754638728,0.029915484223634662
2012-10-31,0.20000000104556764,0.010394910096355556,0.0,0.0,0.0,0.20000000102852297,0.0,0.0,0.17521340758274923,0.0,0.0,0.20000000079327976,0.0,0.06037656887613636,0.13101639903073944,0.022998711546649016
2012-11-30,0.2000000000016507,0.026834259396377635,0.0,0.0,0.0,0.2000000000061008,0.026459378064508345,0.0,0.08205541922937909,0.0,0.0,0.200000000000305,0.0,0.19999999968598356,0.06465094361569479,0.0
2012-12-31,0.19999999999633575,0.026173869391732784,0.0,0.0,0.0,0.2000000000023373,0.15352988837028736,0.0,0.0,0.0,0.0,0.2000000000012837,0.0,0.043378321370513916,0.17691792086750915,0.0
2013-01-31,0.07842249833334461,0.08837320133573069,0.0,0.0,0.0,0.2000000001032225,0.2000000000577219,0.0,0.0,0.0,0.0,0.20000000009796134,0.0,0.19636512077623114,0.03683917929578782,0.0
2013-02-28,0.02214277805479263,0.0859970344174523,0.0,0.0,0.0,0.20000000000258997,0.1999999999703342,0.0,0.09186018761069162,0.0,0.0,0.19999999998465934,0.0,0.19999999995948,0.0,0.0
2013-03-28,0.014020789221478903,0.07845644678562098,0.0,0.0,0.0,0.20000000071529914,0.2000000005222004,0.0,0.10752276222782906,0.0,0.0,0.20000000045035227,0.0,0.20000000007721921,0.0,0.0
2013-04-30,0.03571419332892357,0.012693204505794604,0.0,0.0,0.0,0.20000000000652463,0.1999999999912232,0.0,0.15000000058705318,0.0,0.0015926022998879982,0.20000000000272575,0.0,0.19999999927786713,0.0,0.0
2013-05-31,0.06225782089031857,0.022946384748376666,0.0,0.0,0.0,0.20000000057366754,0.2000000005146063,0.0,0.0,0.0,0.1590601168292251,0.20000000055008288,0.0,0.15573567589372286,0.0,0.0
2013-06-28,0.009925013762140156,0.03422288928118884,0.0,0.0,0.0,0.200000001130847,0.200000000119579,0.0,0.032640201878193234,0.0,0.12321189491061971,0.20000000062777146,0.0,0.1999999982896605,0.0,0.0
2013-07-31,0.017885825387297608,0.04019083560829582,0.0,0.0,0.0,0.20000000007951665,0.20000000006855342,0.0,0.015546704901861462,0.0,0.0,0.20000000007215635,0.0,0.20000000004993662,0.12637663383238218,0.0
2013-08-30,0.038282302348446304,0.024878461067970113,0.0,0.0,0.0,0.20000000003851995,0.200000000038691,0.0,0.0,0.0,0.02045619166441005,0.20000000002609455,0.0,0.16949720557225226,0.14688583924361576,0.0
2013-09-30,0.021201460290243113,0.03935417827737685,0.0,0.0,1.78908736180605e-08,0.2000000027815183,0.20000000204583654,0.011014631621068284,0.0,0.0,0.040436390245855845,0.20000000251295325,0.0,0.14972831041624537,0.13826500391802887,0.0
2013-10-31,0.04738890117049364,0.07853740777852303,0.0,0.0,0.0,0.20000000101899684,0.2000000007335508,0.0,0.0,0.0,0.02318213731665516,0.20000000081494415,0.0,0.15521708816045343,0.095674463006383,0.0
2013-11-29,0.047552089188217704,0.07828707322708481,0.0,0.0,0.0,0.20000000041225927,0.20000000045134692,0.04343262709522282,0.0,0.0,0.029696171729850063,0.20000000057363745,0.0,0.09856053260152166,0.10247150472085925,0.0
2013-12-31,0.045180127035273326,0.12853167707412747,0.0,0.0,0.0587608920792863,0.20000000000978135,0.19999999999218382,0.039740502841407774,0.0,0.0,0.011628678394429728,0.19999999998212753,0.0,0.02371492814396321,0.09244319444741944,0.0
2014-01-31,0.010013583114142686,0.10583504883146838,0.0,0.0,0.0,0.20000000000930468,0.1999999999849867,0.04484260854287679,0.0,0.0,0.012648727998475297,0.2000000000232393,0.0,0.10953542020238524,0.11712461129312086,0.0
