,rf_ann
2012-01-31,0.0009416445903130954
2012-02-29,0.0009337160582179038
2012-03-30,0.0009039891694978541
2012-04-30,0.0008730747829290841
2012-05-31,0.000842359212959054
2012-06-29,0.0008294777143311727
2012-07-31,0.0008045092737484216
2012-08-31,0.0007815226705625289
2012-09-28,0.0007632923269131897
2012-10-31,0.0007506089551803097
2012-11-30,0.0007301965972553726
2012-12-31,0.0007012582501820797
2013-01-31,0.0006701422276035318
2013-02-28,0.0006576561341338216
2013-03-28,0.0006513133832876106
2013-04-30,0.0006479430233283789
2013-05-31,0.0006497282535439242
2013-06-28,0.0006538933299871097
2013-07-31,0.0006548857586315959
2013-08-30,0.0006614322213442936
2013-09-30,0.0006626225196995073
2013-10-31,0.0006761085791144872
2013-11-29,0.0006975282025931673
2013-12-31,0.0007207335103761592
2014-01-31,0.000725493716241643
2014-02-28,0.0007112183297722785
2014-03-31,0.0006973390386261213
2014-04-30,0.0006759225149407522
2014-05-30,0.0006511363418605365
2014-06-30,0.0006287298176614886
2014-07-31,0.0005987876002537806
2014-08-29,0.0005694425055892127
2014-09-30,0.0005337505747186055
2014-10-31,0.0004944882229570569
2014-11-28,0.0004671232279866988
2014-12-31,0.0004486809888063492
2015-01-30,0.00043003971540822583
2015-02-27,0.00040029591937262854
2015-03-31,0.0003741206897367455
2015-04-30,0.00035924587084146253
2015-05-29,0.0003481381577302711
2015-06-30,0.0003330636524616626
2015-07-31,0.0003316745564285739
2015-08-31,0.0003431748108120303
2015-09-30,0.0003463477942181603
2015-10-30,0.00033206739281865794
2015-11-30,0.00035585064450960324
2015-12-31,0.0004265782375343363
2016-01-29,0.00050621555730479
2016-02-29,0.00061118398884763
2016-03-31,0.0007179394542715656
2016-04-29,0.0007999765084537591
2016-05-31,0.000901600323612084
2016-06-30,0.0010052110059303176
2016-07-29,0.0011139615139993397
2016-08-31,0.001235584854659133
2016-09-30,0.001349884635234222
2016-10-31,0.0014808080425652292
2016-11-30,0.0016605365113028236
2016-12-30,0.0018611862792650147
2017-01-31,0.002055696726898981
2017-02-28,0.002246845495493144
2017-03-31,0.002574151085001364
2017-04-28,0.002868764787472111
2017-05-31,0.0032541029845435387
2017-06-30,0.0036817087094065393
2017-07-31,0.004098239999014597
2017-08-31,0.004534734944074081
2017-09-29,0.004938341405193447
2017-10-31,0.005405409443944853
2017-11-30,0.005868894336947705
2017-12-29,0.006305353336768071
2018-01-31,0.006790961328059675
2018-02-28,0.007267208101630618
2018-03-29,0.007855126646136412
2018-04-30,0.008498870865425556
2018-05-31,0.009200815049017042
2018-06-29,0.00988575773606859
2018-07-31,0.010584341899076644
2018-08-31,0.01138404097122836
2018-09-28,0.01208009620389816
2018-10-31,0.012964821018047523
2018-11-30,0.013753545771122422
2018-12-31,0.01445876535050361
2019-01-31,0.015242159683087841
2019-02-28,0.015952529512738733
2019-03-29,0.01665802063991184
2019-04-30,0.017326037973166453
2019-05-31,0.01797374600302515
2019-06-28,0.018452585828075407
2019-07-31,0.01891031553856437
2019-08-30,0.01932118881201883
2019-09-30,0.01966998397808084
2019-10-31,0.019936350329640917
2019-11-29,0.020064909500356443
2019-12-31,0.02016016678001198
2020-01-31,0.020210804108780733
2020-02-28,0.020198493528880923
2020-03-31,0.019581265930713965
2020-04-30,0.01890028299667945
2020-05-29,0.01820548293403279
2020-06-30,0.017438268957082115
2020-07-31,0.01663265901427735
2020-08-31,0.015822750318954193
2020-09-30,0.014977509939730238
2020-10-30,0.014033743127950138
2020-11-30,0.013139714142122227
2020-12-31,0.012138818130070561
2021-01-29,0.011267129226231853
2021-02-26,0.010375905308899647
2021-03-31,0.00928439487661814
2021-04-30,0.008291520303329247
2021-05-28,0.007355743793919123
2021-06-30,0.006410804763949729
2021-07-30,0.005549558525614562
2021-08-31,0.004713017214773241
2021-09-30,0.0039343338480690715
2021-10-29,0.0032623355232791473
2021-11-30,0.002634850415617618
2021-12-31,0.0019829639611553818
2022-01-31,0.0014291047522136946
2022-02-28,0.0009696624286071875
2022-03-31,0.0010430086945183437
2022-04-29,0.001289113427093369
2022-05-31,0.001647417030580245
2022-06-30,0.002216702764332723
2022-07-29,0.003066451274231663
2022-08-31,0.0042449355742868455
2022-09-30,0.005521054684126114
2022-10-31,0.007053979295832402
2022-11-30,0.008778626817808166
2022-12-30,0.010519896422491182
2023-01-31,0.012304575872451262
2023-02-28,0.014051744892702889
2023-03-31,0.016202714424527365
2023-04-28,0.01806256816713714
2023-05-31,0.02031290506212735
2023-06-30,0.022496014632702233
2023-07-31,0.024596114747845732
2023-08-31,0.02703988834743365
2023-09-29,0.02916895889454063
2023-10-31,0.031527894662453315
2023-11-30,0.03374660021466047
2023-12-29,0.03582622685140524
2024-01-31,0.037986338126768215
2024-02-29,0.03996915665824263
2024-03-28,0.04191526065505646
2024-04-30,0.0439167279617636
2024-05-31,0.04581369011141945
2024-06-28,0.04727963139359248
2024-07-31,0.048630453378936456
2024-08-30,0.04972628155835779
2024-09-30,0.050392659623064606
2024-10-31,0.05080709504926839
2024-11-29,0.05092488045366195
2024-12-31,0.050940279797603294
2025-01-31,0.05081970810489855
2025-02-28,0.05066198316233428
2025-03-31,0.05045236860634417
2025-04-30,0.05017011476854205
2025-05-30,0.0498092511749183
2025-06-30,0.04943191005443914
2025-07-31,0.048989410302150316
2025-08-29,0.04849256867195828
2025-09-30,0.04789991705405594
2025-10-31,0.04719352077146921
2025-11-28,0.046615821732850615
2025-12-31,0.04587752973687498
2026-01-30,0.04519786779169599
2026-02-27,0.04456812568721358
2026-03-31,0.04383839472175233
2026-04-30,0.04314208899620364
2026-05-29,0.042470836598678674
2026-06-30,0.04179917662471622
2026-07-31,0.041141554755692145
2026-08-31,0.04056404622870191
2026-09-11,0.04037445042005949
