,diff_ann,z,p_value,corr,n_periods
MVO Max-Sharpe (Sample),-0.04900143844367884,-0.3084481849036094,0.7577413217690812,0.8351331471017377,176.0
MVO Max-Sharpe (Ledoit-Wolf),-0.051043501469003924,-0.32207410112537055,0.7473965580589093,0.8359044171737693,176.0
MVO Max-Sharpe (LW + Shrunk Means),-0.028019739104756972,-0.17657766284692764,0.859840140824734,0.8357903203818737,176.0
Michaud Resampled (Sample),0.009893858212580814,0.0765996946363545,0.9389420018861012,0.8919305744823245,176.0
Black-Litterman (Momentum views),-0.10627016415264759,-0.9820367716194947,0.3260817329471313,0.9236902592207329,176.0
Minimum Variance (Ledoit-Wolf),-0.37013460210321464,-2.337283994316423,0.019424422225924554,0.8339834145968549,176.0
Risk Parity (Ledoit-Wolf),-0.04618818994637812,-0.9549571069104071,0.33959938860989247,0.9848920571980687,176.0
