,Sharpe @ 0 bps,Sharpe @ 5 bps,Sharpe @ 10 bps,Sharpe @ 25 bps,Sharpe @ 50 bps,Sharpe @ 100 bps,break-even bps vs 1/N
1/N Equal Weight,1.1280946436618218,1.1262913419149203,1.1244870425899522,1.1190682060344397,1.1100172990018424,1.0918444468757684,
MVO Max-Sharpe (Sample),1.1092825136246844,1.1004057467592097,1.091520536866279,1.0648164108750606,1.020160927908867,0.9303914175769123,0.0
MVO Max-Sharpe (Ledoit-Wolf),1.1083932537552077,1.0995735328682963,1.0907455197400677,1.0642138360805233,1.0198482784652523,0.9306656571099851,0.0
MVO Max-Sharpe (LW + Shrunk Means),1.0966482078945212,1.0875555920920121,1.0784542742393346,1.051100378292098,1.0053577793795478,0.913403387535553,0.0
Michaud Resampled (Sample),1.1292826258092081,1.1238629126081454,1.1184399921506853,1.1021524671489311,1.0749469376844407,1.020334002562457,2.0
Black-Litterman (Momentum views),1.058450000124446,1.0510892984830633,1.0437212081757272,1.0215740270160543,0.9845276191230311,0.909995913593657,0.0
Minimum Variance (Ledoit-Wolf),0.8112148437522848,0.8070978570187535,0.802979021512779,0.7906117565700136,0.7699657971950072,0.7285620736956829,0.0
Risk Parity (Ledoit-Wolf),1.0802573254060517,1.0782953306274188,1.0763322487129665,1.0704365408034655,1.0605891857357213,1.0408178282928364,0.0
