Date,1/N Equal Weight,MVO Max-Sharpe (Sample),MVO Max-Sharpe (Ledoit-Wolf),MVO Max-Sharpe (LW + Shrunk Means),Michaud Resampled (Sample),Black-Litterman (Momentum views),Minimum Variance (Ledoit-Wolf),Risk Parity (Ledoit-Wolf)
2012-02-01,0.00151785405104099,0.0052419479167387095,0.005069511174436991,0.0026045415475342004,0.0004253996321381681,0.004230781251350901,0.0022754276356073966,0.0014785743100094173
2012-02-02,0.0017442917826251403,-0.0020150408174690604,-0.0020013458502329273,-0.0008959524126002094,-0.001022473905111232,-0.0012722099258951625,-0.00032101983697085945,0.0007309881142891772
2012-02-03,0.012979026527592863,0.01054122752125286,0.010555553678390561,0.003818886943410593,0.009201643970795592,0.0043546911933138865,0.0027877049546876087,0.009684888821847704
2012-02-06,-0.0003246958749475448,0.0006452926842273055,0.0005805121033126692,0.0020025020617711053,0.000901170532824791,0.0036441558763355975,0.0009010782652507654,0.00041039186609337364
2012-02-07,0.0030609442372422357,0.006694275490109591,0.006689745299273131,0.006549349380139402,0.006243238469091361,0.006527376253260497,0.004064811427814119,0.003616739413546899
2012-02-08,0.004489994203524805,0.00257148325542067,0.0026231237474634295,0.0024619604655311544,0.003305322852678483,0.0030087053446323786,0.0016019533931916907,0.0029591759225033876
2012-02-09,0.0009773462510178632,0.00628711104952151,0.006347673369277773,0.007801378921835189,0.006826260782506699,0.007822845628959296,0.002092266960996181,0.001499065383591791
2012-02-10,-0.00601688802825584,-0.000900863806691965,-0.0008787683322502016,1.8944615292060263e-05,-0.0017726658366891135,-0.0025954286739852117,-0.0026199997644188455,-0.004809618934253024
2012-02-13,0.009927903973538488,0.012698811242020547,0.012727183521774155,0.007864144908432236,0.01129460652813874,0.00825191150074911,0.0033041638882089774,0.008323099342797846
2012-02-14,0.0019451326940922442,0.007649609421439996,0.007635372243036231,0.006884827464761933,0.006304144080746532,0.005660236433698396,0.0036057604495123297,0.0024748741866060797
2012-02-15,-0.007778570544551333,-0.012009741653921657,-0.01205756649656764,-0.008729673137760074,-0.010535103047328187,-0.008039735035783702,-0.004270129927998911,-0.0067134330327364156
2012-02-16,0.010446475969542401,0.007011125359242643,0.006934960080819064,0.007057141531668476,0.00670710012401643,0.011103688786974875,0.010268222506564229,0.010056252827052026
2012-02-17,0.0011397671419979272,0.003559812693476161,0.0035596738839063224,0.001984857819542052,0.0027796683338121575,0.0008136239818135049,1.064625885605075e-05,0.0013716994024106643
2012-02-21,0.005601393608768435,0.00908019457183995,0.009132238587863162,0.005790628947059062,0.008107637986955352,0.008590037360124647,0.001311685156464959,0.004523457933453656
2012-02-22,-0.003929160476676796,-0.0005771091699416919,-0.0006561259200006386,-0.001658613883286586,-0.002052288722366402,-0.0018179864346540286,-0.0009689844605353937,-0.0030561433265401394
2012-02-23,0.005145604255902381,0.0028471531267597605,0.0028275829947024267,0.005882081998803468,0.003850829252675325,0.005641433918900374,0.007569733022574354,0.0059260616787071285
2012-02-24,0.002237559211242246,0.004101153751894238,0.0041717957251212745,0.005167578784382565,0.004593991727924962,0.005733738055948789,0.0032318210371917733,0.0027556709891163322
2012-02-27,9.414089929005165e-05,0.0002808004752949955,0.0002954264088084191,0.0009626750456128708,0.0006734985115190995,0.0010749739514410717,-6.502959941434572e-05,0.00014030739307346884
2012-02-28,0.00568469010834316,0.005892198627687639,0.005943468344372871,0.0058529203534214425,0.006848699821492943,0.007294763752500044,0.005916167935729133,0.006000325134045692
2012-02-29,-0.0033105354793540043,0.002954999394163993,0.002785426776299449,0.00535932431597419,0.001466685692269376,0.0029764380670034285,0.001739117996438777,-0.0017232570561092064
2012-03-01,0.0067811783331976905,0.00093138938938786,0.0008757746185297233,-0.0002563360418101901,0.001023196697680362,0.003079715765787583,-0.001036711321259487,0.004253634196397904
2012-03-02,-0.0019266143414585768,-0.002443712897885253,-0.002480235036180667,-0.0013433031412558583,-0.002100566799738801,-0.0023587859358006336,-0.0015653333936926916,-0.0020616660368216744
2012-03-05,-0.0066582722370135405,-0.00889741430367863,-0.009008803370891716,-0.005213515852235284,-0.007661763265924271,-0.00540070013662064,-0.0013927177036943128,-0.004548136072332509
2012-03-06,-0.012437271331178668,-0.011444496375190849,-0.011595344396495899,-0.006573644164742709,-0.009612458572621385,-0.007378766723771579,-0.006086892335439131,-0.010435302775582023
2012-03-07,0.007729757322051611,0.006233246786337743,0.006318138673176765,0.0024229274269531587,0.005885135426870525,0.003989547074525923,0.0014670392387128306,0.005814793854971523
2012-03-08,0.00938390839058778,0.012504385638154814,0.012615906691028966,0.010251992186197656,0.012513612842962818,0.010146612599550409,0.0073239612324915715,0.00867132839838769
2012-03-09,0.0001375903907905318,0.003917761967341615,0.0038984112123321424,0.003294823407835823,0.0017672051450017268,-0.00012911028826168014,0.001379744470450861,0.0002846796445949984
2012-03-12,0.0015353162282865096,0.004779051796377498,0.004645600012386453,0.008578582480782693,0.00503099502977844,0.006237243240911239,0.008767903318171122,0.0038411716837929433
2012-03-13,0.019718104342939746,0.014950353292575436,0.01511797652105451,0.010625595794206077,0.014483994251152543,0.013765646791313646,0.007674173805158668,0.015757893222944297
2012-03-14,-0.0038460971763083496,0.006267997489146859,0.006333938501869696,0.005492211204590314,0.005385313601237396,0.005836339221804376,-0.00108893269337762,-0.002730735338867807
2012-03-15,0.004494736849646186,-0.00038536371665987,-0.0003682746059766595,-0.0014119240958421209,-0.0005841740450285293,-0.0011486028970369988,-0.00010116903841883573,0.0027355228855761027
2012-03-16,-0.0007761897946159113,-0.0013910909091137125,-0.0013823273293175342,-0.0019604329750410043,-0.0008161687000907136,-0.000624849070745892,-0.002170237469424685,-0.0011848738289803595
2012-03-19,0.004091228472914654,0.006850931918093828,0.006877164177685691,0.006507780751805914,0.00692700759352971,0.006620864090436607,0.0017648445729603335,0.003447945682638398
2012-03-20,-0.0006640264879747004,-0.0021868073752602246,-0.002328718649400874,0.001402263832277928,-0.0005115174263368161,0.0005985185031700535,0.00019455242205390633,-0.00033969729458083187
2012-03-21,-0.0023770196466270654,-0.0021531151172414775,-0.0022374149715777003,0.0005614284830115501,-0.0019692281095817776,-0.002616165662091441,0.001060084004501416,-0.0016079547881496792
2012-03-22,-0.005182825342790465,-0.003428282576122821,-0.003523881635135284,-0.0005829403500033914,-0.004289255683429638,-0.003597590251756655,-0.0003521848142066242,-0.003746621636906977
2012-03-23,0.0045251488899229475,-0.0002973135874678734,-0.0002647957833563641,-0.000546484061230812,0.0013319299188030431,0.0010243011999380158,0.0010877559046027496,0.0033055217665207692
2012-03-26,0.015500602430773336,0.013315568243128961,0.013338478179913738,0.011204031923567115,0.014403154387438777,0.016461106615463406,0.009016841755670635,0.013863672864404375
2012-03-27,2.8569216959706267e-05,0.002643119671585925,0.002621177396523011,0.0027496763833458893,0.0028861865768181616,0.003038194844882991,0.0011068317040323628,0.000151424135650835
2012-03-28,-0.0031226905654148096,-0.002244577532746539,-0.002331682608442187,0.0011068982139661454,-0.003061991338576875,-0.0023122809086547624,-0.0002139337705108213,-0.002489150355116987
