,rf_ann,shrinkage,delta,n_views,view
2019-05-31,0.01797374600302515,0.026729423542782075,5.0,1,AMZN+AAPL+MSFT+PG beats NVDA+GS+CVX+CAT by 5.0%
2019-06-28,0.018452585828075407,0.026033466532493162,5.0,1,LIN+NEE+MSFT+PG beats NVDA+CAT+GS+XOM by 5.0%
2019-07-31,0.01891031553856437,0.02622469647392871,5.0,1,NEE+LIN+MSFT+PG beats NVDA+GS+XOM+UNH by 5.0%
2019-08-30,0.01932118881201883,0.023799361259400933,5.0,1,LIN+NEE+MSFT+PG beats NVDA+CAT+GS+XOM by 5.0%
2019-09-30,0.01966998397808084,0.023490401872654998,5.0,1,KO+MSFT+NEE+PG beats NVDA+CAT+GS+UNH by 5.0%
2019-10-31,0.019936350329640917,0.022195346169817713,5.0,1,MSFT+KO+NEE+PG beats NVDA+CAT+XOM+UNH by 5.0%
2019-11-29,0.020064909500356443,0.02215529738548774,5.0,1,NEE+HD+MSFT+PG beats XOM+JNJ+UNH+GS by 5.0%
2019-12-31,0.02016016678001198,0.021992884600312387,5.0,1,NEE+NVDA+MSFT+AAPL beats XOM+JNJ+UNH+CVX by 5.0%
2020-01-31,0.020210804108780733,0.021708020621911177,5.0,1,JPM+MSFT+NVDA+AAPL beats XOM+CVX+JNJ+CAT by 5.0%
2020-02-28,0.020198493528880923,0.022424164751965563,4.454236101076824,1,NEE+MSFT+NVDA+AAPL beats XOM+CVX+UNH+CAT by 5.0%
2020-03-31,0.019581265930713965,0.059535569511766966,2.558658077221895,1,NEE+MSFT+AAPL+NVDA beats XOM+CVX+CAT+JNJ by 5.0%
2020-04-30,0.01890028299667945,0.05270275930889955,3.287713986849388,1,NEE+MSFT+AAPL+NVDA beats XOM+CVX+GS+CAT by 5.0%
2020-05-29,0.01820548293403279,0.05006126381204307,3.1815497455398103,1,UNH+MSFT+AAPL+NVDA beats XOM+CVX+JPM+CAT by 5.0%
2020-06-30,0.017438268957082115,0.04618823116272491,3.4949967936883346,1,AMZN+MSFT+AAPL+NVDA beats XOM+CVX+JPM+KO by 5.0%
2020-07-31,0.01663265901427735,0.045447757928322,3.7235504035009663,1,AMZN+MSFT+AAPL+NVDA beats XOM+CVX+JPM+KO by 5.0%
2020-08-31,0.015822750318954193,0.04523743398930299,3.849435480519223,1,MSFT+AMZN+AAPL+NVDA beats XOM+CVX+JPM+KO by 5.0%
2020-09-30,0.014977509939730238,0.04279762562666787,3.2567225650553504,1,MSFT+AMZN+AAPL+NVDA beats XOM+CVX+KO+JPM by 5.0%
2020-10-30,0.014033743127950138,0.0433541499891321,3.7452421680410617,1,MSFT+AMZN+AAPL+NVDA beats XOM+CVX+JPM+KO by 5.0%
2020-11-30,0.013139714142122227,0.044485341631984504,4.218737834540211,1,MSFT+AMZN+AAPL+NVDA beats XOM+CVX+JPM+GS by 5.0%
2020-12-31,0.012138818130070561,0.0479884115464555,5.0,1,MSFT+AMZN+AAPL+NVDA beats XOM+CVX+JPM+KO by 5.0%
2021-01-29,0.011267129226231853,0.048755532532377195,5.0,1,MSFT+AMZN+AAPL+NVDA beats XOM+CVX+JPM+KO by 5.0%
2021-02-26,0.010375905308899647,0.04851420029525821,4.845955810166309,1,MSFT+AMZN+AAPL+NVDA beats XOM+CVX+KO+JPM by 5.0%
2021-03-31,0.00928439487661814,0.04830719900429579,4.559128485091505,1,GS+AAPL+CAT+NVDA beats KO+PG+CVX+XOM by 5.0%
2021-04-30,0.008291520303329247,0.04783521080070236,4.636199468887032,1,AAPL+NVDA+CAT+GS beats KO+PG+NEE+JNJ by 5.0%
2021-05-28,0.007355743793919123,0.047940210659972886,4.995478045249272,1,AAPL+GS+CAT+NVDA beats JNJ+PG+KO+CVX by 5.0%
2021-06-30,0.006410804763949729,0.04826631436171495,4.91646529637096,1,JPM+NVDA+GS+CAT beats NEE+JNJ+PG+CVX by 5.0%
2021-07-30,0.005549558525614562,0.04779944652304073,4.978184776858661,1,JPM+CAT+GS+NVDA beats PG+JNJ+CVX+NEE by 5.0%
2021-08-31,0.004713017214773241,0.049985997341809224,5.0,1,CAT+JPM+NVDA+GS beats AMZN+PG+NEE+JNJ by 5.0%
2021-09-30,0.0039343338480690715,0.0492961230695554,5.0,1,CAT+JPM+NVDA+GS beats AMZN+PG+JNJ+HD by 5.0%
2021-10-29,0.0032623355232791473,0.04938844901939059,5.0,1,NVDA+JPM+XOM+GS beats PG+AMZN+KO+JNJ by 5.0%
2021-11-30,0.002634850415617618,0.048658197544226164,5.0,1,JPM+NVDA+XOM+GS beats AMZN+PG+NEE+KO by 5.0%
2021-12-31,0.0019829639611553818,0.04769112560645288,4.862902133349787,1,MSFT+XOM+GS+NVDA beats KO+AMZN+PG+JNJ by 5.0%
2022-01-31,0.0014291047522136946,0.04745807020674931,4.308889197713048,1,MSFT+XOM+HD+NVDA beats AMZN+KO+JNJ+CAT by 5.0%
2022-02-28,0.0009696624286071875,0.04896467143737802,4.668822461917427,1,UNH+CVX+NVDA+XOM beats AMZN+NEE+JNJ+JPM by 5.0%
2022-03-31,0.0010430086945183437,0.029368712715292827,5.0,1,UNH+XOM+CVX+NVDA beats CAT+JPM+AMZN+GS by 5.0%
2022-04-29,0.001289113427093369,0.02796336165084479,5.0,1,AAPL+XOM+CVX+NVDA beats JPM+CAT+HD+GS by 5.0%
2022-05-31,0.001647417030580245,0.026915830855640283,5.0,1,NVDA+UNH+XOM+CVX beats AMZN+JPM+GS+NEE by 5.0%
2022-06-30,0.002216702764332723,0.023828277541649668,3.987491226629482,1,AAPL+UNH+XOM+CVX beats AMZN+JPM+GS+CAT by 5.0%
2022-07-29,0.003066451274231663,0.023822336442334602,4.457027218106549,1,KO+UNH+XOM+CVX beats AMZN+JPM+NVDA+GS by 5.0%
2022-08-31,0.0042449355742868455,0.022363858489409284,2.5696292437050046,1,KO+UNH+CVX+XOM beats JPM+AMZN+GS+CAT by 5.0%
2022-09-30,0.005521054684126114,0.022937221355518025,2.3313356164118897,1,KO+UNH+CVX+XOM beats NVDA+AMZN+JPM+GS by 5.0%
2022-10-31,0.007053979295832402,0.022323950508207853,3.4633147880615955,1,KO+UNH+CVX+XOM beats NVDA+JPM+AMZN+GS by 5.0%
2022-11-30,0.008778626817808166,0.01968618176407094,3.0054024988934236,1,JNJ+UNH+CVX+XOM beats NVDA+AMZN+MSFT+JPM by 5.0%
2022-12-30,0.010519896422491182,0.018385984284603973,1.8253259256685366,1,UNH+CAT+CVX+XOM beats NVDA+AMZN+MSFT+HD by 5.0%
2023-01-31,0.012304575872451262,0.017810815704710974,2.132343890395757,1,KO+CAT+CVX+XOM beats NVDA+AMZN+MSFT+AAPL by 5.0%
2023-02-28,0.014051744892702889,0.017703438308449428,2.0438200194181833,1,UNH+CAT+CVX+XOM beats AMZN+MSFT+NVDA+HD by 5.0%
2023-03-31,0.016202714424527365,0.017472709415890107,2.4467425823233953,1,CVX+LIN+CAT+XOM beats AMZN+MSFT+AAPL+PG by 5.0%
2023-04-28,0.01806256816713714,0.01777194901260795,2.1668568878219148,1,KO+CAT+LIN+XOM beats AMZN+JNJ+MSFT+AAPL by 5.0%
2023-05-31,0.02031290506212735,0.01933556639895445,2.563701850252903,1,JPM+LIN+XOM+NVDA beats AMZN+JNJ+UNH+HD by 5.0%
2023-06-30,0.022496014632702233,0.019181373242618333,2.500218961568769,1,LIN+AAPL+MSFT+NVDA beats CVX+JNJ+KO+HD by 5.0%
2023-07-31,0.024596114747845732,0.019379334509688952,2.4158352106600205,1,MSFT+CAT+AAPL+NVDA beats UNH+JNJ+NEE+KO by 5.0%
2023-08-31,0.02703988834743365,0.019280745872901184,1.96920158041694,1,LIN+JPM+CAT+NVDA beats NEE+AMZN+UNH+KO by 5.0%
2023-09-29,0.02916895889454063,0.01948295911422693,1.9151450821538305,1,JPM+LIN+CAT+NVDA beats NEE+UNH+KO+CVX by 5.0%
2023-10-31,0.031527894662453315,0.019756367974152554,1.1083391370996518,1,LIN+JPM+CAT+NVDA beats NEE+JNJ+KO+UNH by 5.0%
2023-11-30,0.03374660021466047,0.019981001514482507,1.3485249069168077,1,LIN+AMZN+MSFT+NVDA beats NEE+CVX+JNJ+GS by 5.0%
2023-12-29,0.03582622685140524,0.020995012152477496,1.2497645806878415,1,AAPL+AMZN+MSFT+NVDA beats NEE+CVX+JNJ+GS by 5.0%
