Method,Mean L1 distance from base,Mean per-asset weight std,Max per-asset weight std,Avg effective N,Base Sharpe (in-sample)
MVO (Sample cov),0.1177747239047939,0.009647053409050036,0.0373406389107599,6.315393061472629,2.155028429293173
MVO (Ledoit-Wolf cov),0.10731822410074437,0.008610299224195959,0.029772516596463294,6.5314372951161594,2.1533854278026396
MVO (LW cov + shrunk means),0.07849062843759505,0.006162596689542114,0.017090561731563456,7.377842637327976,2.1102797854414925
Michaud Resampled,0.05424482663806141,0.004216452210537064,0.0091828356103694,9.104106109615111,2.0217577080551634
Black-Litterman (views = estimates),0.06777898963417683,0.0053038268178901395,0.01054494412961442,8.469102626820945,2.0543112184273946
Minimum Variance (LW),0.0,1.4159681323918392e-16,6.661338147750939e-16,8.844510769541754,1.3557425456566685
Risk Parity (LW),0.0,1.5395670849294163e-16,3.469446951953614e-16,14.615906156190158,1.259211469695818
