,AAPL,AMZN,CAT,CVX,GS,HD,JNJ,JPM,KO,LIN,MSFT,NEE,NVDA,PG,UNH,XOM
2012-01-31,0.2000000018059045,0.012514008214862484,0.0,0.0,0.0,0.13801254905316135,0.03226978592876368,0.0,0.20000000177917557,0.0319491134571269,0.0,0.19999976478522816,0.0,0.12220219620700218,0.06305257876877521,0.0
2012-02-29,0.2000000002032239,0.0,0.0,0.0,0.0,0.07877539700235839,0.01843261136673817,0.0,0.1999999999963042,0.06794046409558303,0.0,0.19999999997972198,0.0,0.15000000008688855,0.08485152726918174,0.0
2012-03-30,0.20000000016430144,0.0,0.0,0.0,0.0,0.09605443327333267,0.0,0.0,0.20000000010914956,0.013286697783035501,0.0,0.20000000013947575,0.0,0.1500000001629378,0.14065886836776723,0.0
2012-04-30,0.20000000018583822,0.023075126263684506,0.0,0.0,0.0,0.04750337001367396,0.0,0.0,0.20000000019016517,0.0030718756400012768,0.0,0.19999999939034488,0.0,0.14999999348791584,0.17634963482837618,0.0
2012-05-31,0.20000000012388025,0.02523294048366183,0.0,0.0,0.0,0.04241638737598235,0.02536512827021834,0.0,0.2000000001299569,0.0,0.0,0.20000000010906202,0.0,0.14999999890162477,0.15698554460561354,0.0
2012-06-29,0.19999999952260175,0.02665118472229594,0.0,0.0,0.0,0.11338898010645533,0.08715270323527015,0.0,0.20000000011325553,0.0,0.0,0.19999999991909337,0.0,0.08803536346742379,0.08477176891360412,0.0
2012-07-31,0.19999999992432296,0.02817218610636776,0.0,0.0,0.0,0.13206156732477606,0.15086559250204812,0.0,0.20000000004019186,0.0,0.0,0.19999999918627187,0.0,0.08890065491602142,0.0,0.0
2012-08-31,0.20000000007215277,0.01784572697533134,0.0,0.0,0.0,0.18182113995122642,0.10799876927853685,0.0,0.18064308887719438,0.0,0.0,0.14233434052232885,0.0,0.169356909310762,2.5012467379128297e-08,0.0
2012-09-28,0.20000000032292783,0.005769203733852953,0.0,0.0,0.0,0.1999999894516731,0.044230797474352074,0.0,0.1500000116115681,0.0,0.0,0.19999999825658216,0.0,0.19999998761110852,1.1537935306117637e-08,0.0
2012-10-31,0.20000000028215845,0.0,0.0,0.0,0.0,0.20000000042668778,0.07006796478790177,0.0,0.13894291647925688,0.0,0.0,0.19999999830949125,0.0,0.16864242384457218,0.02234669586993171,0.0
2012-11-30,0.1855219177297443,0.0,0.0,0.0,0.0,0.2000000010039971,0.1252770709460858,0.0,0.08920100836336069,0.0,0.0,0.20000000098926596,0.0,0.20000000096754622,0.0,0.0
2012-12-31,0.16297322692221922,2.306326311915746e-06,0.0,0.0,0.0,0.19999999997860343,0.19999999953451333,0.0,0.017174370347746454,0.0,0.0,0.19999999998467313,0.0,0.15294198931053177,0.06690810759540074,0.0
2013-01-31,0.04142694942004525,0.05170002926740982,0.0,0.0,0.0,0.20000000001553117,0.19999999996424375,0.0,0.10687302136073154,0.0,0.0,0.20000000001589893,0.0,0.19999999995613962,0.0,0.0
2013-02-28,0.01953143501411251,0.04886279902102872,0.0,0.0,0.0,0.19999999983494118,0.19999999987929107,0.0,0.13160576655285092,0.0,0.0,0.19999999988019232,0.0,0.19999999981758337,0.0,0.0
2013-03-28,0.019213391587176984,0.043207028507868936,0.0,0.0,0.0,0.19999999853982675,0.20000000018519679,0.0,0.13757958167832138,0.0,0.0,0.1999999999511925,0.0,0.19999999955041667,0.0,0.0
2013-04-30,0.035826700444825076,0.006855567570391473,0.0,0.0,0.0,0.20000000000784166,0.20000000001333687,0.0,0.150000000223866,0.0,0.007317731940211788,0.20000000001680363,0.0,0.1999999997827236,0.0,0.0
2013-05-31,0.051293550545404624,0.011228735198438169,0.0,0.0,0.0,0.20000000001254575,0.20000000001348703,0.0,0.054639096740950965,0.0,0.0828386187537038,0.19999999995862813,0.0,0.19999999877684163,0.0,0.0
2013-06-28,0.025698350335282876,0.018469003978896018,0.0,0.0,0.0,0.20000000015144628,0.20000000007344826,0.0,0.08600077755119208,0.0,0.06983186824864439,0.20000000004064306,0.0,0.19999999962044704,0.0,0.0
2013-07-31,0.03316738824280021,0.021705400414083396,0.0,0.0,0.0,0.2000000009647205,0.20000000098281345,0.0,0.08694737405417696,0.0,0.0,0.2000000009860722,0.0,0.20000000055542352,0.05817983379990975,0.0
2013-08-30,0.04874162739742889,0.020964596731183657,0.0,0.0,0.0,0.20000000001066032,0.2000000000017483,0.0,0.0,0.0,0.02963919854902931,0.20000000000994822,0.0,0.19999999923364814,0.1006545780663531,0.0
2013-09-30,0.0332200433958015,0.029414370627173468,0.0,0.0,0.0,0.20000000056897493,0.20000000043355456,0.0,0.0,0.0,0.03761371173448905,0.20000000049643757,0.0,0.19769726431493778,0.1020546084286311,0.0
2013-10-31,0.05067462259724066,0.05079133142486505,0.0,0.0,0.0,0.2000000010368575,0.20000000103821947,0.0,0.0,0.0,0.029497529492125987,0.2000000010368163,0.0,0.18443189104826346,0.08460462232561157,0.0
2013-11-29,0.05227705964663964,0.05383289531890329,0.0,0.0,0.0,0.19999998044051398,0.20000000056201148,0.00021872020139402395,1.7663543598369745e-08,0.0,0.03996939765354791,0.2000000004957684,0.0,0.16099526755479218,0.09270666046288549,0.0
2013-12-31,0.052823808091457335,0.07611206426670244,0.0,0.0,0.01300297408922758,0.1999999993673472,0.20000000036931312,0.01950536826936924,0.0,0.0,0.029187868519671308,0.20000000037902052,0.0,0.11749823596481201,0.09186968068307919,0.0
2014-01-31,0.03399416297263752,0.06389059523567531,0.0,0.0,0.0,0.19999999973157234,0.20000000052492523,0.01519352671120106,0.0,0.0,0.027594987455657537,0.20000000055000536,0.0,0.15509734747243753,0.10422937934588819,0.0
2014-02-28,0.022719089281285125,0.08047563137827886,0.0,0.0,0.0,0.20000000040140037,0.20000000045804606,0.011844224018187985,0.0,0.0,0.011259193168374829,0.20000000041740712,0.020113728290194765,0.15235923431894796,0.10122889826787694,0.0
2014-03-31,0.0,0.044211646527678804,0.0,0.0,0.0,0.19855945301027955,0.2000000009266946,0.0,0.0,0.0,0.025487783601855076,0.20000000093008935,0.03104693213217168,0.15994628901242705,0.14074789385880385,0.0
2014-04-30,0.016656072265875118,0.02327550757829923,0.0,0.004222621743486044,0.0,0.17455900896927642,0.20000000005059884,0.0,0.0,0.0,0.018781527827425076,0.20000000004998186,0.07212896367808977,0.19376365722398006,0.08100247894810206,0.01561016166488548
2014-05-30,0.042720289955356636,0.0,0.0,0.004027861465385267,0.0,0.15765973381426931,0.20000000320036015,0.036811469783561784,0.0,0.017346896379789523,0.02475141532018163,0.20000000327783077,0.06302993570860621,0.1683484317638461,0.08530395933081265,0.0
2014-06-30,0.04094933337018342,0.0,0.0,0.04486579038510729,0.039201897445952004,0.13781287479594134,0.20000000020062675,0.0037802609234093604,0.0,0.04439894152440429,0.02137084444698903,0.2000000001854047,0.051808086234493414,0.1431914172993527,0.07262055318813561,0.0
2014-07-31,0.04381318733116967,0.0,0.0,0.0,0.035733532800041407,0.16162944585056896,0.20000000026659437,0.022887884988519257,0.0,0.03502228448619678,0.06842212324602441,0.19999999879268604,0.03398888965679631,0.08109627997877342,0.11740637260262943,0.0
2014-08-29,0.023609806044215063,0.0,2.322034177610508e-08,0.0,0.016720084559095596,0.1738042030087406,0.20000000060299405,0.019360288658919565,0.0,0.051725953461179024,0.06408258627812258,0.1999999937274574,0.0312612847256245,0.10284881108963113,0.11658696462367873,0.0
2014-09-30,0.023633999764711863,0.0,0.0,0.0,0.012141551904257844,0.15275179843018474,0.2000000007918794,0.012517949302978781,0.0,0.061543728255786585,0.0834368604067025,0.18919955874115066,0.04524253508030105,0.10007370124213191,0.11945831607991474,0.0
2014-10-31,0.05152489278007661,0.0,0.0,0.0,0.0,0.13681120088854287,0.20000000044524321,0.0,1.3423151519334338e-08,0.0,0.082198910681984,0.20000000042999413,0.08008702370943717,0.13345731336690353,0.11592064427466697,0.0
2014-11-28,0.08074512580550611,0.0,0.0,0.0,0.0,0.08858968940998292,0.20000000033126497,0.0,0.018364881427375367,0.0,0.08376534478565638,0.19999999931227236,0.07741042049481482,0.11670895884563326,0.13441557958749384,0.0
2014-12-31,0.08242273219618798,0.0,0.0,0.0,0.0,0.1548944280997106,0.13415938239651956,0.0,0.0,0.0,0.08178330642869705,0.19763419257181483,0.05683836950369383,0.15950749300410327,0.132760095799273,0.0
2015-01-30,0.1703739211839906,0.0,0.0,0.0,0.0,0.138875413273959,0.13302466067504973,0.0,0.009246470718555626,0.0,0.03446549861977595,0.200000000014281,0.05646705631962611,0.06866018804220374,0.18888679115255821,0.0
2015-02-27,0.18084308665092189,0.0023903591630374133,0.0,0.0,0.0,0.16943624749749825,0.07269635900707033,0.0,0.041528949445873285,0.0,0.03962804004824036,0.1999999546675624,0.06349862369777039,0.029978386656137355,0.19999999316588837,0.0
2015-03-31,0.2000000002130471,0.010539810589786237,0.0,0.0,0.0,0.20000000024512152,0.03862439825769183,0.0,0.0,0.0,0.03454237064015814,0.1999999993374513,0.08306534327177124,0.033228077233144124,0.20000000021182843,0.0
2015-04-30,0.2000000007776382,0.046042421782097026,0.0,0.0,0.0,0.15251119408855435,0.030505945975307005,0.0,0.002568636301331775,0.0,0.05692998953286606,0.16682938290117896,0.08611059746800784,0.05850183042704307,0.2000000007459757,0.0
2015-05-29,0.20000000208942226,0.052343627668992865,0.0,0.0,0.0,0.12106974801801017,0.05886127594250063,0.0,0.05471063495192172,0.0,0.030737812559285593,0.2000000016559395,0.0822768952354404,0.0,0.20000000187848685,0.0
2015-06-30,0.2000000002776063,0.043518929084487186,0.0,0.0,0.048771349192537415,0.16054405173684982,0.000737348390996036,0.0,0.05180850462655,0.0,0.01033934530160931,0.16352130809176882,0.05086415527622282,0.06989500780679188,0.2000000002145803,0.0
2015-07-31,0.20000000013815972,0.07252233837480758,0.0,0.0,0.0,0.19265305771530927,0.0,0.0,0.06087630858416856,0.0,0.0815906110613201,0.16646096706470223,0.025896748203644637,0.0,0.19999996885788793,0.0
2015-08-31,0.178810371977767,0.08745371974113757,0.0,0.0,0.0,0.20000000016845174,0.0,0.0,0.07045989348775565,0.0,0.0,0.19999999530536347,0.06356841832371835,0.0,0.19970760099580628,0.0
2015-09-30,0.189422687819059,0.056061796955054866,0.0,0.0,0.0,0.19999999969041662,0.0,0.0,0.08901059957430145,0.0,0.0,0.19767912038743968,0.07042205186168798,0.0,0.19740374371204045,0.0
2015-10-30,0.13094832572652537,0.05195758436781063,0.0,0.0,0.0,0.19999999917850872,0.0,0.0,0.12153998647963654,0.0,0.026588757767329184,0.15611277727145567,0.11285257166988984,0.0,0.19999999753884407,0.0
2015-11-30,0.11292070073772949,0.06550509365013962,0.0,0.0,0.0,0.19999999979698047,0.0,0.0,0.12924178573734457,0.0,0.02251045289522708,0.18505740497811463,0.16168063728908078,0.0,0.12308392491538327,0.0
2015-12-31,0.014195376331789147,0.07246995302388498,0.0,0.0,0.0,0.20000000005021332,0.0,0.0,0.0864010648278808,0.0,0.05626123887265219,0.20000000003650525,0.19199750165804153,0.0,0.17867486519903278,0.0
2016-01-29,0.00745523566021512,0.03778621586965383,0.0,0.0,0.0,0.2000000001932384,0.0,0.0,0.1999999999792934,0.0,0.03554113423833878,0.19999999766493015,0.13710948958137664,0.0,0.18210792681295365,0.0
2016-02-29,0.005086295327507637,0.06848435969719009,0.0,0.0,0.0,0.20000000010459398,0.01227319864528468,0.0,0.20000000010576788,0.0,0.0,0.2000000000944163,0.11415614593589628,0.0,0.2000000000893433,0.0
2016-03-31,0.031006122965172224,0.0814057513296554,0.0,0.0,0.0,0.2000000004436309,0.0,0.0,0.20000000045579802,0.0,0.0,0.2000000006589426,0.132153189107305,0.0,0.1554349350394958,0.0
