,rf_ann,shrinkage
2012-01-31,0.0009416445903130954,0.016811513570541343
2012-02-29,0.0009337160582179038,0.017335630675555356
2012-03-30,0.0009039891694978541,0.01709388268572529
2012-04-30,0.0008730747829290841,0.017339170159989353
2012-05-31,0.000842359212959054,0.018883920343070633
2012-06-29,0.0008294777143311727,0.018887989093414045
2012-07-31,0.0008045092737484216,0.01931400565131401
2012-08-31,0.0007815226705625289,0.0200934810004285
2012-09-28,0.0007632923269131897,0.020279383555547367
2012-10-31,0.0007506089551803097,0.0201603360269575
2012-11-30,0.0007301965972553726,0.019934344852295952
2012-12-31,0.0007012582501820797,0.019902161084299496
2013-01-31,0.0006701422276035318,0.01987679949501506
2013-02-28,0.0006576561341338216,0.019550783714976597
2013-03-28,0.0006513133832876106,0.020482229709446235
2013-04-30,0.0006479430233283789,0.02019816149156797
2013-05-31,0.0006497282535439242,0.02026910160716542
2013-06-28,0.0006538933299871097,0.02051209972966514
2013-07-31,0.0006548857586315959,0.021403206417119628
2013-08-30,0.0006614322213442936,0.020971628447714375
2013-09-30,0.0006626225196995073,0.023728223322155052
2013-10-31,0.0006761085791144872,0.026040946721200015
2013-11-29,0.0006975282025931673,0.029905613578865196
2013-12-31,0.0007207335103761592,0.03033671677808937
2014-01-31,0.000725493716241643,0.03071084545791272
2014-02-28,0.0007112183297722785,0.030175923036417814
2014-03-31,0.0006973390386261213,0.031004234282931347
2014-04-30,0.0006759225149407522,0.03128601635020368
2014-05-30,0.0006511363418605365,0.028462989843672494
2014-06-30,0.0006287298176614886,0.03219259915014983
2014-07-31,0.0005987876002537806,0.03339163302390917
2014-08-29,0.0005694425055892127,0.034168122959539964
2014-09-30,0.0005337505747186055,0.034732373486379996
2014-10-31,0.0004944882229570569,0.03317508142128415
2014-11-28,0.0004671232279866988,0.03688510387885695
2014-12-31,0.0004486809888063492,0.03568910880890578
2015-01-30,0.00043003971540822583,0.0356561787487184
2015-02-27,0.00040029591937262854,0.03722840736725382
2015-03-31,0.0003741206897367455,0.03428859428060948
2015-04-30,0.00035924587084146253,0.03909740471799371
2015-05-29,0.0003481381577302711,0.03943253496329152
2015-06-30,0.0003330636524616626,0.040921789346276695
2015-07-31,0.0003316745564285739,0.03878819114293777
2015-08-31,0.0003431748108120303,0.037219039327754964
2015-09-30,0.0003463477942181603,0.03227202218912334
2015-10-30,0.00033206739281865794,0.032292428140114515
2015-11-30,0.00035585064450960324,0.033005773413764816
2015-12-31,0.0004265782375343363,0.02999823552911803
2016-01-29,0.00050621555730479,0.027141500861257557
2016-02-29,0.00061118398884763,0.026124229242454507
2016-03-31,0.0007179394542715656,0.02576413697368354
2016-04-29,0.0007999765084537591,0.02609265233240461
2016-05-31,0.000901600323612084,0.02666711533959177
2016-06-30,0.0010052110059303176,0.02546123631349117
2016-07-29,0.0011139615139993397,0.02533169271852412
2016-08-31,0.001235584854659133,0.025923359062637
2016-09-30,0.001349884635234222,0.02524517671320646
2016-10-31,0.0014808080425652292,0.026738229823116254
2016-11-30,0.0016605365113028236,0.03990293919833783
2016-12-30,0.0018611862792650147,0.04174322642990884
2017-01-31,0.002055696726898981,0.04397873675271733
2017-02-28,0.002246845495493144,0.04515263691628978
2017-03-31,0.002574151085001364,0.04691601620506997
2017-04-28,0.002868764787472111,0.04483728711586007
2017-05-31,0.0032541029845435387,0.04478097296579031
2017-06-30,0.0036817087094065393,0.04513358932898911
2017-07-31,0.004098239999014597,0.04555086465368645
2017-08-31,0.004534734944074081,0.05213455760306078
2017-09-29,0.004938341405193447,0.056222642426203916
2017-10-31,0.005405409443944853,0.059573039602471685
2017-11-30,0.005868894336947705,0.06171908989049775
2017-12-29,0.006305353336768071,0.06724408474716848
2018-01-31,0.006790961328059675,0.07601316661946783
2018-02-28,0.007267208101630618,0.07371278750067577
2018-03-29,0.007855126646136412,0.06467169710770213
2018-04-30,0.008498870865425556,0.05934811269703353
2018-05-31,0.009200815049017042,0.059297770096088075
2018-06-29,0.00988575773606859,0.061582246954560535
2018-07-31,0.010584341899076644,0.061243471760427846
2018-08-31,0.01138404097122836,0.060730827883372376
2018-09-28,0.01208009620389816,0.06394786846810974
2018-10-31,0.012964821018047523,0.05152576155154633
2018-11-30,0.013753545771122422,0.03327803223874675
2018-12-31,0.01445876535050361,0.03102733147571463
2019-01-31,0.015242159683087841,0.028853306874308333
2019-02-28,0.015952529512738733,0.02863222477896969
2019-03-29,0.01665802063991184,0.027916134149902867
2019-04-30,0.017326037973166453,0.02848761125360602
2019-05-31,0.01797374600302515,0.026729423542782075
2019-06-28,0.018452585828075407,0.026033466532493162
2019-07-31,0.01891031553856437,0.02622469647392871
2019-08-30,0.01932118881201883,0.023799361259400933
2019-09-30,0.01966998397808084,0.023490401872654998
2019-10-31,0.019936350329640917,0.022195346169817713
2019-11-29,0.020064909500356443,0.02215529738548774
2019-12-31,0.02016016678001198,0.021992884600312387
2020-01-31,0.020210804108780733,0.021708020621911177
2020-02-28,0.020198493528880923,0.022424164751965563
2020-03-31,0.019581265930713965,0.059535569511766966
2020-04-30,0.01890028299667945,0.05270275930889955
2020-05-29,0.01820548293403279,0.05006126381204307
2020-06-30,0.017438268957082115,0.04618823116272491
2020-07-31,0.01663265901427735,0.045447757928322
2020-08-31,0.015822750318954193,0.04523743398930299
2020-09-30,0.014977509939730238,0.04279762562666787
2020-10-30,0.014033743127950138,0.0433541499891321
2020-11-30,0.013139714142122227,0.044485341631984504
2020-12-31,0.012138818130070561,0.0479884115464555
2021-01-29,0.011267129226231853,0.048755532532377195
