,AAPL,AMZN,CAT,CVX,GS,HD,JNJ,JPM,KO,LIN,MSFT,NEE,NVDA,PG,UNH,XOM
2012-01-31,0.07268705257533732,1.0578360357460713e-08,0.0,0.0,0.0,0.017856435592565417,0.20000000171235388,0.0,0.15000000190527196,0.0829943057586938,0.07387602581391838,0.20000000085915742,0.0,0.20000000070633545,0.002586164498005951,0.0
2012-02-29,0.07363365857401867,0.0,0.0,0.0,0.0,0.015682740169054195,0.20000000226498393,0.0,0.15000000289068055,0.08741635966552508,0.07035079797850366,0.20000000228110545,0.0,0.2000000014063244,0.0029164347698040494,0.0
2012-03-30,0.07327390538201035,1.169058282502165e-08,0.0,0.0,0.0,0.012500010105265108,0.20000000223953215,0.0,0.15000000469142155,0.09364340977849998,0.06792549619875629,0.2000000016447714,0.0,0.19999999954428885,0.0026571587248714417,0.0
2012-04-30,0.06374780948192182,1.996222033245775e-08,0.0,0.0,0.0,0.025688327513796808,0.20000000071129162,0.0,0.1500000010880415,0.0927326244313001,0.0627785802737264,0.20000000060496978,0.0,0.20000000016179104,0.005052635770940564,0.0
2012-05-31,0.08096412864952447,9.175577589702096e-08,0.0,0.0,0.0,0.024098538934903765,0.20000000223544187,0.0,0.15000000241632347,0.07335088914860133,0.07158608858946666,0.20000000196350623,0.0,0.20000000089494147,2.5541151481968926e-07,0.0
2012-06-29,0.08895974570114999,0.0015318294042082515,0.0,0.0,0.0,0.015727071996569527,0.200000001016202,0.0,0.15000000364035307,0.06600861532148287,0.07777249186634605,0.20000000076622168,0.0,0.19999999744279864,1.8337010614348693e-07,5.947456176722394e-08
2012-07-31,0.09216435097473208,7.157979952561776e-06,0.0,1.563777497138178e-08,0.0,0.024705737889605825,0.20000000036016302,0.0,0.15000000539267475,0.0639835332188053,0.06913868755357097,0.200000000095045,0.0,0.1999999901045625,2.391822399672137e-07,2.81610873195637e-07
2012-08-31,0.09585286447753542,0.0036844044288256352,0.0,0.0,0.0,0.03690159011689024,0.20000000058501358,0.0,0.14999999892272678,0.05218636724003346,0.06137422103988108,0.20000000089211736,0.0,0.19999999798415757,4.5506707620862807e-07,9.924574267057735e-08
2012-09-28,0.0942423752504847,0.006150916789137981,0.0,0.0,0.0,0.039522503204579736,0.20000000045265934,0.0,0.1500000003773002,0.04764676530794498,0.06243723129986915,0.20000000037629473,0.0,0.19999999942833546,1.8676544285275149e-07,2.0747950855867735e-08
2012-10-31,0.09236772748266528,0.00696846886258743,0.0,4.968140740821291e-08,1.3826455888495832e-08,0.02710231149572894,0.19999999763293894,0.0,0.1499999963506269,0.047423133712210186,0.06906353713353691,0.1999999987070254,0.0,0.19999996630203495,0.00707428273440035,5.160783814362523e-07
2012-11-30,0.08320923136726666,0.01192528053606241,0.0,1.785145023847959e-08,0.0,0.02510576350754757,0.19999999987264855,0.0,0.15000000746881226,0.06282468870536587,0.06691375798887145,0.19999999993711348,0.0,0.19999998895550022,2.098765561289622e-05,2.7615374846033693e-07
2012-12-31,0.07332903222308568,0.0069852439582891055,0.0,1.8818393118927217e-08,0.0,0.0374805762415213,0.20000000011534275,0.0,0.14999999534829553,0.055649578424901855,0.07536893077177116,0.1999999995066991,0.0,0.19999999004851715,0.0011864684789268203,1.6606425637939212e-07
2013-01-31,0.06644897111959537,0.014375457028990324,1.639951288767008e-08,1.0393721072019262e-07,2.3465636819161642e-08,0.03971459696834861,0.1999999917650699,1.482449299793247e-08,0.15000000448356549,0.0516568604213263,0.07328961064300286,0.19999999391712964,1.6862148127578084e-08,0.19999990810679935,0.0045137559915077565,6.740656628571427e-07
2013-02-28,0.06537733111587642,0.016075234662317674,0.0,0.0,0.0,0.03325693393404695,0.2000000003633719,0.0,0.15000000048475914,0.05596199297136651,0.07600136202786659,0.20000000044938981,0.0,0.19999999950436093,0.0033271321630698692,1.2323574241679374e-08
2013-03-28,0.07247982225488936,0.011669991651471836,0.0,3.863055771144297e-08,0.0,0.035064935958513545,0.2000000017052089,0.0,0.14999999885321713,0.04868135902785646,0.07510290430974248,0.20000000069037838,0.0,0.19999998005687156,0.007000560626097117,4.062351956116751e-07
2013-04-30,0.06345521398436657,0.013784615292449844,1.5193887858515624e-08,8.363049838179524e-08,1.7201585098617863e-08,0.036842233703196135,0.19999999212942798,1.2128536912037503e-08,0.14999998087146088,0.0539760262881143,0.07784687840276226,0.19999999112744443,1.5481022160517857e-08,0.19999996012541288,0.004092569978861409,2.3944609729212872e-06
2013-05-31,0.0718813381714193,0.013950439199789949,2.041802594944482e-08,9.076514399173477e-08,2.1806122516802994e-08,0.03646062536155778,0.1999999850613803,1.6649023213941064e-08,0.1500000358223922,0.04770866156760942,0.07482023614538247,0.1999999699871781,2.1002500103567392e-08,0.19999994369884436,0.005176850888070298,1.7434555600929183e-06
